MA01_01|The birch canoe slid on the smooth planks.|The birch canoe slid on the smooth planks.
MA01_02|Glue the sheet to the dark blue background.|Glue the sheet to the dark blue background.
MA01_03|It's easy to tell the depth of a well.|It's easy to tell the depth of a well.
MA01_04|These days a chicken leg is a rare dish.|These days a chicken leg is a rare dish.
MA01_05|Rice is often served in round bowls.|Rice is often served in round bowls.
MA01_06|The juice of lemons makes fine punch.|The juice of lemons makes fine punch.
MA01_07|The box was thrown beside the parked truck.|The box was thrown beside the parked truck.
MA01_08|The hogs were fed chopped corn and garbage.|The hogs were fed chopped corn and garbage.
MA01_09|Four hours of steady work faced us.|Four hours of steady work faced us.
MA01_10|A large size in stockings is hard to sell.|A large size in stockings is hard to sell.
MA02_01|The boy was there when the sun rose.|The boy was there when the sun rose.
MA02_02|A rod is used to catch pink salmon. |A rod is used to catch pink salmon. 
MA02_03|The source of the huge river is the clear spring.|The source of the huge river is the clear spring.
MA02_04|Kick the ball straight and follow through.|Kick the ball straight and follow through.
MA02_05|Help the woman get back to her feet.|Help the woman get back to her feet.
MA02_06|A pot of tea helps to pass the evening.|A pot of tea helps to pass the evening.
MA02_07|Smoky fires lack flame and heat.|Smoky fires lack flame and heat.
MA02_08|The soft cushion broke the man's fall.|The soft cushion broke the man's fall.
MA02_09|The salt breeze came across from the sea.|The salt breeze came across from the sea.
MA02_10|The girl at the booth sold fifty bonds.|The girl at the booth sold fifty bonds.
MA03_01|The small pup gnawed a hole in the sock.|The small pup gnawed a hole in the sock.
MA03_02|The fish twisted and turned on the bent hook.|The fish twisted and turned on the bent hook.
MA03_03|Press the pants and sew a button on the vest.|Press the pants and sew a button on the vest.
MA03_04|The swan dive was far short of perfect.|The swan dive was far short of perfect.
MA03_05|The beauty of the view stunned the young boy.|The beauty of the view stunned the young boy.
MA03_06|Two blue fish swam in the tank.|Two blue fish swam in the tank.
MA03_07|Her purse was full of useless trash.|Her purse was full of useless trash.
MA03_08|The colt reared and threw the tall rider.|The colt reared and threw the tall rider.
"MA03_09|It snowed, rained, and hailed the same morning.|It snowed, rained, and hailed the same morning."
MA03_10|Read verse out loud for pleasure.|Read verse out loud for pleasure.
MA04_01|Hoist the load to your left shoulder.|Hoist the load to your left shoulder.
MA04_02|Take the winding path to reach the lake.|Take the winding path to reach the lake.
MA04_03|Note closely the size of the gas tank.|Note closely the size of the gas tank.
MA04_04|Wipe the grease off his dirty face.|Wipe the grease off his dirty face.
MA04_05|Mend the coat before you go out.|Mend the coat before you go out.
MA04_06|The wrist was badly strained and hung limp.|The wrist was badly strained and hung limp.
MA04_07|The stray cat gave birth to kittens.|The stray cat gave birth to kittens.
MA04_08|The young girl gave no clear response.|The young girl gave no clear response.
MA04_09|The meal was cooked before the bell rang.|The meal was cooked before the bell rang.
MA04_10|What joy there is in living.|What joy there is in living.
MA05_01|A king ruled the state in the early days.|A king ruled the state in the early days.
MA05_02|The ship was torn apart on the sharp reef.|The ship was torn apart on the sharp reef.
MA05_03|Sickness kept him home the third week.|Sickness kept him home the third week.
MA05_04|The wide road shimmered in the hot sun.|The wide road shimmered in the hot sun.
MA05_05|The lazy cow lay in the cool grass.|The lazy cow lay in the cool grass.
MA05_06|Lift the square stone over the fence.|Lift the square stone over the fence.
MA05_07|The rope will bind the seven books at once.|The rope will bind the seven books at once.
MA05_08|Hop over the fence and plunge in.|Hop over the fence and plunge in.
MA05_09|The friendly gang left the drug store.|The friendly gang left the drug store.
MA05_10|Mesh wire keeps chicks inside.|Mesh wire keeps chicks inside.
MA06_01|The frost air passed through the coat.|The frost air passed through the coat.
MA06_02|The crooked maze failed to fool the mouse.|The crooked maze failed to fool the mouse.
MA06_03|Adding fast leads to wrong sums.|Adding fast leads to wrong sums.
MA06_04|The show was a flop from the very start.|The show was a flop from the very start.
MA06_05|A saw is a tool used for making boards.|A saw is a tool used for making boards.
MA06_06|The wagon moved on well oiled wheels.|The wagon moved on well oiled wheels.
MA06_07|March the soldiers past the next hill.|March the soldiers past the next hill.
MA06_08|A cup of sugar makes sweet fudge.|A cup of sugar makes sweet fudge.
MA06_09|Place a rosebush near the porch steps.|Place a rosebush near the porch steps.
MA06_10|Both lost their lives in the raging storm.|Both lost their lives in the raging storm.
MB07_01|We talked of the side show in the circus.|We talked of the side show in the circus.
MB07_02|Use a pencil to write the first draft.|Use a pencil to write the first draft.
MB07_03|He ran half way to the hardware store.|He ran half way to the hardware store.
MB07_04|The clock struck to mark the third period.|The clock struck to mark the third period.
MB07_05|A small creek cut across the field.|A small creek cut across the field.
MB07_06|Cars and busses stalled in snow drifts.|Cars and busses stalled in snow drifts.
MB07_07|The set of china hit the floor with a crash.|The set of china hit the floor with a crash.
MB07_08|This is a grand season for hikes on the road.|This is a grand season for hikes on the road.
MB07_09|The dune rose from the edge of the water.|The dune rose from the edge of the water.
MB07_10|Those words were the cue for the actor to leave.|Those words were the cue for the actor to leave.
MB08_01|A yacht slid around the point into the bay.|A yacht slid around the point into the bay.
MB08_02|The two met while playing on the sand.|The two met while playing on the sand.
MB08_03|The ink stain dried on the finished page.|The ink stain dried on the finished page.
MB08_04|The walled town was seized without a fight.|The walled town was seized without a fight.
MB08_05|The lease ran out in sixteen weeks.|The lease ran out in sixteen weeks.
MB08_06|A tame squirrel makes a nice pet.|A tame squirrel makes a nice pet.
MB08_07|The horn of the car woke the sleeping cop.|The horn of the car woke the sleeping cop.
MB08_08|The heart beat strongly and with firm strokes.|The heart beat strongly and with firm strokes.
MB08_09|The pearl was worn in a thin silver ring.|The pearl was worn in a thin silver ring.
MB08_10|The fruit peel was cut in thick slices.|The fruit peel was cut in thick slices.
MB09_01|The Navy attacked the big task force.|The Navy attacked the big task force.
MB09_02|See the cat glaring at the scared mouse.|See the cat glaring at the scared mouse.
MB09_03|There are more than two factors here.|There are more than two factors here.
MB09_04|The hat brim was wide and too droopy.|The hat brim was wide and too droopy.
MB09_05|The lawyer tried to lose his case.|The lawyer tried to lose his case.
MB09_06|The grass curled around the fence post.|The grass curled around the fence post.
MB09_07|Cut the pie into large parts.|Cut the pie into large parts.
MB09_08|Men strive but seldom get rich.|Men strive but seldom get rich.
MB09_09|Always close the barn door tight.|Always close the barn door tight.
MB09_10|He lay prone and hardly moved a limb.|He lay prone and hardly moved a limb.
MB10_01|The slush lay deep along the street.|The slush lay deep along the street.
MB10_02|A wisp of cloud hung in the blue air.|A wisp of cloud hung in the blue air.
MB10_03|A pound of sugar costs more than eggs.|A pound of sugar costs more than eggs.
MB10_04|The fin was sharp and cut the clear water.|The fin was sharp and cut the clear water.
MB10_05|The play seems dull and quite stupid.|The play seems dull and quite stupid.
MB10_06|Bail the boat to stop it from sinking.|Bail the boat to stop it from sinking.
MB10_07|The term ended in late June that year.|The term ended in late June that year.
MB10_08|A tusk is used to make costly gifts.|A tusk is used to make costly gifts.
MB10_09|Ten pins were set in order.|Ten pins were set in order.
MB10_10|The bill was paid every third week.|The bill was paid every third week.
MB11_01|Oak is strong and also gives shade.|Oak is strong and also gives shade.
MB11_02|Cats and dogs each hate the other.|Cats and dogs each hate the other.
MB11_03|The pipe began to rust while new.|The pipe began to rust while new.
MB11_04|Open the crate but don't break the glass.|Open the crate but don't break the glass.
MB11_05|Add the sum to the product of these three.|Add the sum to the product of these three.
MB11_06|Thieves who rob friends deserve jail.|Thieves who rob friends deserve jail.
MB11_07|The ripe taste of cheese improves with age.|The ripe taste of cheese improves with age.
MB11_08|Act on these orders with great speed.|Act on these orders with great speed.
MB11_09|The hog crawled under the high fence.|The hog crawled under the high fence.
MB11_10|Move the vat over the hot fire.|Move the vat over the hot fire.
MB12_01|The bark of the pine tree was shiny and dark.|The bark of the pine tree was shiny and dark.
MB12_02|Leaves turn brown and yellow in the fall.|Leaves turn brown and yellow in the fall.
MB12_03|The pennant waved when the wind blew.|The pennant waved when the wind blew.
"MB12_04|Split the log with a quick, sharp blow.|Split the log with a quick, sharp blow."
MB12_05|Burn peat after the logs give out.|Burn peat after the logs give out.
MB12_06|He ordered peach pie with ice cream.|He ordered peach pie with ice cream.
MB12_07|Weave the carpet on the right hand side.|Weave the carpet on the right hand side.
MB12_08|Hemp is a weed found in parts of the tropics.|Hemp is a weed found in parts of the tropics.
MB12_09|A lame back kept his score low.|A lame back kept his score low.
MB12_10|We find joy in the simplest things.|We find joy in the simplest things.
MC13_01|Type out three lists of orders.|Type out three lists of orders.
MC13_02|The harder he tried the less he got done.|The harder he tried the less he got done.
MC13_03|The boss ran the show with a watchful eye.|The boss ran the show with a watchful eye.
MC13_04|The cup cracked and spilled its contents.|The cup cracked and spilled its contents.
MC13_05|Paste can cleanse the most dirty brass.|Paste can cleanse the most dirty brass.
MC13_06|The slang word for raw whiskey is booze.|The slang word for raw whiskey is booze.
MC13_07|It caught its hind paw in a rusty trap.|It caught its hind paw in a rusty trap.
MC13_08|The wharf could be seen at the farther shore.|The wharf could be seen at the farther shore.
MC13_09|Feel the heat of the weak dying flame.|Feel the heat of the weak dying flame.
MC13_10|The tiny girl took off her hat.|The tiny girl took off her hat.
MC14_01|A cramp is no small danger on a swim.|A cramp is no small danger on a swim.
MC14_02|He said the same phrase thirty times.|He said the same phrase thirty times.
MC14_03|Pluck the bright rose without leaves.|Pluck the bright rose without leaves.
MC14_04|Two plus seven is less than ten.|Two plus seven is less than ten.
MC14_05|The glow deepened in the eyes of the sweet girl.|The glow deepened in the eyes of the sweet girl.
MC14_06|Bring your problems to the wise chief.|Bring your problems to the wise chief.
MC14_07|Write a fond note to the friend you cherish.|Write a fond note to the friend you cherish.
MC14_08|Clothes and lodging are free to new men.|Clothes and lodging are free to new men.
MC14_09|We frown when events take a bad turn.|We frown when events take a bad turn.
MC14_10|Port is a strong wine with a smoky taste.|Port is a strong wine with a smoky taste.
MC15_01|The young kid jumped the rusty gate.|The young kid jumped the rusty gate.
MC15_02|Guess the results from the first scores.|Guess the results from the first scores.
MC15_03|A salt pickle tastes fine with ham.|A salt pickle tastes fine with ham.
MC15_04|The just claim got the right verdict.|The just claim got the right verdict.
MC15_05|These thistles bend in a high wind.|These thistles bend in a high wind.
MC15_06|Pure bred poodles have curls.|Pure bred poodles have curls.
MC15_07|The tree top waved in a graceful way.|The tree top waved in a graceful way.
MC15_08|The spot on the blotter was made by green ink.|The spot on the blotter was made by green ink.
MC15_09|Mud was spattered on the front of his white shirt.|Mud was spattered on the front of his white shirt.
MC15_10|The cigar burned a hole in the desk top.|The cigar burned a hole in the desk top.
MC16_01|The empty flask stood on the tin tray.|The empty flask stood on the tin tray.
MC16_02|A speedy man can beat this track mark.|A speedy man can beat this track mark.
MC16_03|He broke a new shoelace that day.|He broke a new shoelace that day.
MC16_04|The coffee stand is too high for the couch.|The coffee stand is too high for the couch.
MC16_05|The urge to write short stories is rare.|The urge to write short stories is rare.
MC16_06|The pencils have all been used.|The pencils have all been used.
MC16_07|The pirates seized the crew of the lost ship.|The pirates seized the crew of the lost ship.
MC16_08|We tried to replace the coin but failed.|We tried to replace the coin but failed.
MC16_09|She sewed the torn coat quite neatly.|She sewed the torn coat quite neatly.
MC16_10|The sofa cushion is red and of light weight.|The sofa cushion is red and of light weight.
MC17_01|The jacket hung on the back of the wide chair.|The jacket hung on the back of the wide chair.
MC17_02|At that high level the air is pure.|At that high level the air is pure.
MC17_03|Drop the two when you add the figures.|Drop the two when you add the figures.
MC17_04|A filing case is now hard to buy.|A filing case is now hard to buy.
MC17_05|An abrupt start does not win the prize.|An abrupt start does not win the prize.
MC17_06|Wood is best for making toys and blocks.|Wood is best for making toys and blocks.
"MC17_07|The office paint was a dull, sad tan.|The office paint was a dull, sad tan."
MC17_08|He knew the skill of the great young actress.|He knew the skill of the great young actress.
MC17_09|A rag will soak up spilled water.|A rag will soak up spilled water.
MC17_10|A shower of dirt fell from the hot pipes.|A shower of dirt fell from the hot pipes.
MC18_01|Steam hissed from the broken valve.|Steam hissed from the broken valve.
MC18_02|The child almost hurt the small dog.|The child almost hurt the small dog.
MC18_03|There was a sound of dry leaves outside.|There was a sound of dry leaves outside.
MC18_04|The sky that morning was clear and bright blue.|The sky that morning was clear and bright blue.
MC18_05|Torn scraps littered the stone floor.|Torn scraps littered the stone floor.
MC18_06|Sunday is the best part of the week.|Sunday is the best part of the week.
MC18_07|The doctor cured him with these pills.|The doctor cured him with these pills.
MC18_08|The new girl was fired today at noon.|The new girl was fired today at noon.
MC18_09|They felt gay when the ship arrived in port.|They felt gay when the ship arrived in port.
MC18_10|Add the store's account to the last cent.|Add the store's account to the last cent.
MD19_01|Acid burns holes in wool cloth.|Acid burns holes in wool cloth.
MD19_02|Fairy tales should be fun to write.|Fairy tales should be fun to write.
MD19_03|Eight miles of woodland burned to waste.|Eight miles of woodland burned to waste.
MD19_04|The third act was dull and tired the players.|The third act was dull and tired the players.
MD19_05|A young child should not suffer fright.|A young child should not suffer fright.
MD19_06|Add the column and put the sum here.|Add the column and put the sum here.
MD19_07|We admire and love a good cook.|We admire and love a good cook.
MD19_08|There the flood mark is ten inches.|There the flood mark is ten inches.
MD19_09|He carved a head from the round block of marble.|He carved a head from the round block of marble.
MD19_10|She has a smart way of wearing clothes.|She has a smart way of wearing clothes.
MD20_01|The fruit of a fig tree is apple-shaped.|The fruit of a fig tree is apple-shaped.
MD20_02|Corn cobs can be used to kindle a fire.|Corn cobs can be used to kindle a fire.
MD20_03|Where were they when the noise started?|Where were they when the noise started?
MD20_04|The paper box is full of thumb tacks.|The paper box is full of thumb tacks.
MD20_05|Sell your gift to a buyer at a good gain.|Sell your gift to a buyer at a good gain.
MD20_06|The tongs lay beside the ice pail.|The tongs lay beside the ice pail.
MD20_07|The petals fall with the next puff of wind.|The petals fall with the next puff of wind.
MD20_08|Bring your best compass to the third class.|Bring your best compass to the third class.
MD20_09|They could laugh although they were sad.|They could laugh although they were sad.
MD20_10|Farmers came in to thresh the oat crop.|Farmers came in to thresh the oat crop.
MD21_01|The brown house was on fire to the attic.|The brown house was on fire to the attic.
MD21_02|The lure is used to catch trout and flounder.|The lure is used to catch trout and flounder.
MD21_03|Float the soap on top of the bath water.|Float the soap on top of the bath water.
MD21_04|A blue crane is a tall wading bird.|A blue crane is a tall wading bird.
MD21_05|A fresh start will work such wonders.|A fresh start will work such wonders.
MD21_06|The club rented the rink for the fifth night.|The club rented the rink for the fifth night.
"MD21_07|After the dance, they went straight home.|After the dance, they went straight home."
MD21_08|The hostess taught the new maid to serve.|The hostess taught the new maid to serve.
MD21_09|He wrote his last novel there at the inn.|He wrote his last novel there at the inn.
MD21_10|Even the worst will beat his low score.|Even the worst will beat his low score.
MD22_01|The cement had dried when he moved it.|The cement had dried when he moved it.
MD22_02|The loss of the second ship was hard to take.|The loss of the second ship was hard to take.
MD22_03|The fly made its way along the wall.|The fly made its way along the wall.
MD22_04|Do that with a wooden stick.|Do that with a wooden stick.
MD22_05|Live wires should be kept covered.|Live wires should be kept covered.
MD22_06|The large house had hot water taps.|The large house had hot water taps.
MD22_07|It is hard to erase blue or red ink.|It is hard to erase blue or red ink.
MD22_08|Write at once or you may forget it.|Write at once or you may forget it.
MD22_09|The doorknob was made of bright clean brass.|The doorknob was made of bright clean brass.
MD22_10|The wreck occurred by the bank on Main Street.|The wreck occurred by the bank on Main Street.
MD23_01|A pencil with black lead writes best.|A pencil with black lead writes best.
MD23_02|Coax a young calf to drink from a bucket.|Coax a young calf to drink from a bucket.
MD23_03|Schools for ladies teach charm and grace.|Schools for ladies teach charm and grace.
MD23_04|The lamp shone with a steady green flame.|The lamp shone with a steady green flame.
MD23_05|They took the axe and the saw to the forest.|They took the axe and the saw to the forest.
MD23_06|The ancient coin was quite dull and worn.|The ancient coin was quite dull and worn.
MD23_07|The shaky barn fell with a loud crash.|The shaky barn fell with a loud crash.
MD23_08|Jazz and swing fans like fast music.|Jazz and swing fans like fast music.
MD23_09|Rake the rubbish up and then burn it.|Rake the rubbish up and then burn it.
MD23_10|Slash the gold cloth into fine ribbons.|Slash the gold cloth into fine ribbons.
MD24_01|Try to have the court decide the case.|Try to have the court decide the case.
MD24_02|They are pushed back each time they attack.|They are pushed back each time they attack.
MD24_03|He broke his ties with groups of former friends.|He broke his ties with groups of former friends.
MD24_04|They floated on the raft to sun their white backs.|They floated on the raft to sun their white backs.
MD24_05|The map had an X that meant nothing.|The map had an X that meant nothing.
MD24_06|Whitings are small fish caught in nets.|Whitings are small fish caught in nets.
MD24_07|Some ads serve to cheat buyers.|Some ads serve to cheat buyers.
MD24_08|Jerk the rope and the bell rings weakly.|Jerk the rope and the bell rings weakly.
MD24_09|A waxed floor makes us lose balance.|A waxed floor makes us lose balance.
"MD24_10|Madam, this is the best brand of corn.|Madam, this is the best brand of corn."
MF31_01|Slide the box into that empty space.|Slide the box into that empty space.
MF31_02|The plant grew large and green in the window.|The plant grew large and green in the window.
MF31_03|The beam dropped down on the workman's head.|The beam dropped down on the workman's head.
MF31_04|Pink clouds floated with the breeze.|Pink clouds floated with the breeze.
"MF31_05|She danced like a swan, tall and graceful.|She danced like a swan, tall and graceful."
MF31_06|The tube was blown and the tire flat and useless.|The tube was blown and the tire flat and useless.
MF31_07|It is late morning on the old wall clock.|It is late morning on the old wall clock.
MF31_08|Let's all join as we sing the last chorus.|Let's all join as we sing the last chorus.
MF31_09|The last switch cannot be turned off.|The last switch cannot be turned off.
MF31_10|The fight will end in just six minutes.|The fight will end in just six minutes.
MF32_01|The store walls were lined with colored frocks.|The store walls were lined with colored frocks.
MF32_02|The peace league met to discuss their plans.|The peace league met to discuss their plans.
MF32_03|The rise to fame of a person takes luck.|The rise to fame of a person takes luck.
"MF32_04|Paper is scarce, so write with much care.|Paper is scarce, so write with much care."
MF32_05|The quick fox jumped on the sleeping cat.|The quick fox jumped on the sleeping cat.
MF32_06|The nozzle of the fire hose was bright brass.|The nozzle of the fire hose was bright brass.
MF32_07|Screw the round cap on as tight as needed.|Screw the round cap on as tight as needed.
MF32_08|Time brings us many changes.|Time brings us many changes.
MF32_09|The purple tie was ten years old.|The purple tie was ten years old.
MF32_10|Men think and plan and sometimes act.|Men think and plan and sometimes act.
MF33_01|Fill the ink jar with sticky glue.|Fill the ink jar with sticky glue.
MF33_02|He smokes a big pipe with strong contents.|He smokes a big pipe with strong contents.
MF33_03|We need grain to keep our mules healthy.|We need grain to keep our mules healthy.
MF33_04|Pack the records in a neat thin case.|Pack the records in a neat thin case.
MF33_05|The crunch of feet in the snow was the only sound.|The crunch of feet in the snow was the only sound.
MF33_06|The copper bowl shone in the sun's rays.|The copper bowl shone in the sun's rays.
MF33_07|Boards will warp unless kept dry.|Boards will warp unless kept dry.
MF33_08|The plush chair leaned against the wall.|The plush chair leaned against the wall.
MF33_09|Glass will clink when struck by metal.|Glass will clink when struck by metal.
MF33_10|Bathe and relax in the cool green grass.|Bathe and relax in the cool green grass.
MF34_01|Nine rows of soldiers stood in line.|Nine rows of soldiers stood in line.
MF34_02|The beach is dry and shallow at low tide.|The beach is dry and shallow at low tide.
MF34_03|The idea is to sew both edges straight.|The idea is to sew both edges straight.
MF34_04|The kitten chased the dog down the street.|The kitten chased the dog down the street.
MF34_05|Pages bound in cloth make a book.|Pages bound in cloth make a book.
MF34_06|Try to trace the fine lines of the painting.|Try to trace the fine lines of the painting.
MF34_07|Women form less than half of the group.|Women form less than half of the group.
MF34_08|The zones merge in the central part of town.|The zones merge in the central part of town.
MF34_09|A gem in the rough needs work to polish.|A gem in the rough needs work to polish.
MF34_10|Code is used when secrets are sent.|Code is used when secrets are sent.
MF35_01|Most of the news is easy for us to hear.|Most of the news is easy for us to hear.
MF35_02|He used the lathe to make brass objects.|He used the lathe to make brass objects.
MF35_03|The vane on top of the pole revolved in the wind.|The vane on top of the pole revolved in the wind.
MF35_04|Mince pie is a dish served to children.|Mince pie is a dish served to children.
MF35_05|The clan gathered on each dull night.|The clan gathered on each dull night.
"MF35_06|Let it burn, it gives us warmth and comfort.|Let it burn, it gives us warmth and comfort."
MF35_07|A castle built from sand fails to endure.|A castle built from sand fails to endure.
MF35_08|A child's wit saved the day for us.|A child's wit saved the day for us.
MF35_09|Tack the strip of carpet to the worn floor.|Tack the strip of carpet to the worn floor.
MF35_10|Next Tuesday we must vote.|Next Tuesday we must vote.
MF36_01|Pour stew from the pot into the plate.|Pour stew from the pot into the plate.
MF36_02|Each penny shone like new.|Each penny shone like new.
MF36_03|The man went to the woods to gather sticks.|The man went to the woods to gather sticks.
MF36_04|The dirt piles were lines along the road.|The dirt piles were lines along the road.
MF36_05|The logs fell and tumbled into the clear stream.|The logs fell and tumbled into the clear stream.
MF36_06|Just hoist it up and take it away.|Just hoist it up and take it away.
MF36_07|A ripe plum is fit for a king's palate.|A ripe plum is fit for a king's palate.
MF36_08|Our plans right now are hazy.|Our plans right now are hazy.
MF36_09|Brass rings are sold by these natives.|Brass rings are sold by these natives.
MF36_10|It takes a good trap to capture a bear.|It takes a good trap to capture a bear.
MG37_01|Feed the white mouse some flower seeds.|Feed the white mouse some flower seeds.
MG37_02|The thaw came early and freed the stream.|The thaw came early and freed the stream.
MG37_03|He took the lead and kept it the whole distance.|He took the lead and kept it the whole distance.
MG37_04|The key you designed will fit the lock.|The key you designed will fit the lock.
MG37_05|Plead to the council to free the poor thief.|Plead to the council to free the poor thief.
MG37_06|Better hash is made of rare beef.|Better hash is made of rare beef.
MG37_07|This plank was made for walking on.|This plank was made for walking on.
MG37_08|The lake sparkled in the red hot son.|The lake sparkled in the red hot son.
MG37_09|He crawled with care along the ledge.|He crawled with care along the ledge.
MG37_10|Tend the sheep while the dog wanders.|Tend the sheep while the dog wanders.
MG38_01|It takes a lot of help to finish these.|It takes a lot of help to finish these.
MG38_02|Mark the spot with a sign painted red.|Mark the spot with a sign painted red.
MG38_03|Take two shares as a fair profit.|Take two shares as a fair profit.
MG38_04|The fur of cats goes by many names.|The fur of cats goes by many names.
MG38_05|North winds bring colds and fevers.|North winds bring colds and fevers.
MG38_06|He asks no person to vouch for him.|He asks no person to vouch for him.
MG38_07|Go now and come here later.|Go now and come here later.
MG38_08|A sash of gold silk will trim her dress.|A sash of gold silk will trim her dress.
MG38_09|Soap can wash most dirt away.|Soap can wash most dirt away.
MG38_10|That move means the game is over.|That move means the game is over.
MG39_01|He wrote down a long list of items.|He wrote down a long list of items.
MG39_02|A siege will crack the strong defense.|A siege will crack the strong defense.
MG39_03|Grape juice and water mix well.|Grape juice and water mix well.
MG39_04|Roads are paved with sticky tar.|Roads are paved with sticky tar.
MG39_05|Fake stones shine but cost little.|Fake stones shine but cost little.
MG39_06|The drop of the rain made a pleasant sound.|The drop of the rain made a pleasant sound.
MG39_07|Smoke poured out of every crack.|Smoke poured out of every crack.
MG39_08|Serve the hot rum to the tired heroes.|Serve the hot rum to the tired heroes.
MG39_09|Much of the story makes good sense.|Much of the story makes good sense.
MG39_10|The sun came up to light the eastern sky.|The sun came up to light the eastern sky.
MG40_01|Heave the line over the port side.|Heave the line over the port side.
MG40_02|A lathe cuts and trims any wood.|A lathe cuts and trims any wood.
MG40_03|It's a dense crowd in two distinct ways.|It's a dense crowd in two distinct ways.
MG40_04|His hip struck the knee of the next player.|His hip struck the knee of the next player.
MG40_05|The stale smell of old beer lingers.|The stale smell of old beer lingers.
