191-0000|Hi, and welcome back to another deep learning lecture.|Hi, and welcome back to another deep learning lecture.
234-0006|the question that we're trying to address here and talk a little bit about it is, whether or not we can use and how we can use ay eye in machine learning|the question that we're trying to address here and talk a little bit about it is, whether or not we can use and how we can use ay eye in machine learning
234-0007|to solve society's biggest challenges|to solve society's biggest challenges
234-0008|An algorithm is really just an opinion embedded in math and we can decide what option we want to embed in this algorithm, right?|An algorithm is really just an opinion embedded in math and we can decide what option we want to embed in this algorithm, right?
234-0009|So maybe we can embed alturistic opinions and solve some of society's biggest challenges!|So maybe we can embed alturistic opinions and solve some of society's biggest challenges!
234-0010|Wouldn't that be exciting? I think it would.|Wouldn't that be exciting? I think it would.
234-0011|to really improve, some of society's biggest challenges.|to really improve, some of society's biggest challenges.
234-0012|The first project here that I wanna talk about|The first project here that I wanna talk about
234-0013|By narrowing the range of estimates of the size of land available for reforestation,|By narrowing the range of estimates of the size of land available for reforestation,
234-0014|We are not very nice to the rainforests and see oh two generation is a problem, so they are using essentially|We are not very nice to the rainforests and see oh two generation is a problem, so they are using essentially
234-0015|To properly estimate where we could effectively reforest|To properly estimate where we could effectively reforest
234-0016|Another example I briefly  wanted to talk about is this one right here, that is essentially tries to generate|Another example I briefly  wanted to talk about is this one right here, that is essentially tries to generate
234-0017|a highest plastic concentration, so that we can deploy|a highest plastic concentration, so that we can deploy
234-0018|Another project, here, tries to build a product that would aid in the prediction of potential accident-prone areas|Another project, here, tries to build a product that would aid in the prediction of potential accident-prone areas
234-0019|And I can definitely tell you that something like this in Baltimore would be very useful and would very likely highlight some part|And I can definitely tell you that something like this in Baltimore would be very useful and would very likely highlight some part
234-0020|There are multiple efforts that are happening on the corperate level, on the institutional and societal level|There are multiple efforts that are happening on the corperate level, on the institutional and societal level
234-0021|try to improve and try to promote the use of artificial intelligence, machine learning, and deep learning for the greater good|try to improve and try to promote the use of artificial intelligence, machine learning, and deep learning for the greater good
234-0022|That provide resources for labeling grants, so that large amounts of datasets can be labeled|That provide resources for labeling grants, so that large amounts of datasets can be labeled
234-0023|Get access to the higher level of compute that you may need to solve the problem that you're interested in.|Get access to the higher level of compute that you may need to solve the problem that you're interested in.
234-0024|I have previously offered, and I'm offering it again,|I have previously offered, and I'm offering it again,
234-0025|Using this technology for the greater good is really a very important thing.|Using this technology for the greater good is really a very important thing.
234-0026|If you think about ay eye for good, then one thing to think about as well is, think about the sustainable development goals that have been set out by the United Nations|If you think about ay eye for good, then one thing to think about as well is, think about the sustainable development goals that have been set out by the United Nations
234-0027|that allow you to provide some framework for what the large social challenges are that we need to be dealing with in the next couple of years in order to provoke|that allow you to provide some framework for what the large social challenges are that we need to be dealing with in the next couple of years in order to provoke
234-0028|and they include no poverty, zero hunger, good health and well-being|and they include no poverty, zero hunger, good health and well-being
234-0029|which are all goals that I'm very sure, uh, we all can get behind.|which are all goals that I'm very sure, uh, we all can get behind.
234-0030|I think it's certainly one of the better things to var feel very strongly about because|I think it's certainly one of the better things to var feel very strongly about because
235-0000|As the last subchapter of today's lecture, I want to very briefy talk about the environmental impact|As the last subchapter of today's lecture, I want to very briefy talk about the environmental impact
235-0001|why, thinking about ay eye for good, particularly thinking about using ay eye and so on for reforestation and reducing the see oh footprint is probably not a bad idea.|why, thinking about ay eye for good, particularly thinking about using ay eye and so on for reforestation and reducing the see oh footprint is probably not a bad idea.
235-0002|There are a couple of rather frightening headlines around that in twenty-twenty due to covid,|There are a couple of rather frightening headlines around that in twenty-twenty due to covid,
235-0003|are not as prominent as they were before, but rest assured they will become just as pressing, just as urgent, and just as uncomfortable|are not as prominent as they were before, but rest assured they will become just as pressing, just as urgent, and just as uncomfortable
235-0004|Because major climate reports describe this very strong risk of crisis|Because major climate reports describe this very strong risk of crisis
235-0005|Due to, you know, climate change as early as twenty forty.|Due to, you know, climate change as early as twenty forty.
235-0006|and there is a scientific consensus that indeed the earth's climate is warming and that's it's humans that can be attributed.|and there is a scientific consensus that indeed the earth's climate is warming and that's it's humans that can be attributed.
235-0007|Now, you probably know is that we all contribute to climate change, every single one of us|Now, you probably know is that we all contribute to climate change, every single one of us
235-0008|So how are we producing carbon emissions? Well so, for example, air travel produces carbon emissions. Simple human life produces carbon emissions because we happen to breathe|So how are we producing carbon emissions? Well so, for example, air travel produces carbon emissions. Simple human life produces carbon emissions because we happen to breathe
235-0009|right? And you can that some of the major industrial uh nations, China, Germany, and United States also produce a substantial amount of see oh two.|right? And you can that some of the major industrial uh nations, China, Germany, and United States also produce a substantial amount of see oh two.
235-0010|So why are we talking about this? In this context of deep learning|So why are we talking about this? In this context of deep learning
235-0011|A computer, that we use, to train neural network, requires electricity.|A computer, that we use, to train neural network, requires electricity.
235-0012|and the computer that we use to train a neural network requires electricity.|and the computer that we use to train a neural network requires electricity.
235-0013|More computers require more electricity. So what you can see here is that the recent advances that we saw|More computers require more electricity. So what you can see here is that the recent advances that we saw
235-0014|This system then acquired four thousand uh forty five thousand years of dota self play over ten real time months, right? That is a craaazy amount of data crunching.|This system then acquired four thousand uh forty five thousand years of dota self play over ten real time months, right? That is a craaazy amount of data crunching.
235-0015|The first model gee pee tee one paired with more data sourced from reddit and much much much much much more compute.|The first model gee pee tee one paired with more data sourced from reddit and much much much much much more compute.
235-0016|So, again, we all contribute to climate change, training deep neural networks|So, again, we all contribute to climate change, training deep neural networks
235-0017|and, we need to cut, the carbon footprint.|and, we need to cut, the carbon footprint.
235-0018|Now what you can see here are estimates of how much carbon a specific architecture|Now what you can see here are estimates of how much carbon a specific architecture
235-0019|When we also tune the parameters of this network and experiment a little, it's somewhere at the order of eighty thousand.|When we also tune the parameters of this network and experiment a little, it's somewhere at the order of eighty thousand.
235-0020|This crazy number right here, uh more than six hundred thousand pounds of carbon estimates|This crazy number right here, uh more than six hundred thousand pounds of carbon estimates
235-0021|Here you can see something that also lists the prices|Here you can see something that also lists the prices
235-0022|your paper to understand whether the model actually is compatible with the available resources that they have at their system so that they don't train their model a couple of times to only understand that this will never work|your paper to understand whether the model actually is compatible with the available resources that they have at their system so that they don't train their model a couple of times to only understand that this will never work
235-0023|and also to provide standardized measurements such as the time to convergence in gigaflops|and also to provide standardized measurements such as the time to convergence in gigaflops
235-0024|the sensitivity to hyper parameters for example the variance and the output of the model to just give people a feeling for whether or not this is a good investment|the sensitivity to hyper parameters for example the variance and the output of the model to just give people a feeling for whether or not this is a good investment
235-0025|These recent models that achieve state of the art performance in playing dota, in language modeling|These recent models that achieve state of the art performance in playing dota, in language modeling
235-0026|that in some of the areas that we are observing here, the rich get richer and this is also in the context of federal funding simply because you can demonstrate|that in some of the areas that we are observing here, the rich get richer and this is also in the context of federal funding simply because you can demonstrate
235-0027|but what is more important than all of these things is that we need to prioritize the development of computationally efficient hardware and algorithms which is probably more in our computer scientist's|but what is more important than all of these things is that we need to prioritize the development of computationally efficient hardware and algorithms which is probably more in our computer scientist's
235-0028|they must be tightly integrated into the popular framework that everyone uses because if they are not integrated if they are somehow some exotic method that someone has published|they must be tightly integrated into the popular framework that everyone uses because if they are not integrated if they are somehow some exotic method that someone has published
235-0029|quick prototyping, right? So integrating this tightly into the frameworks that everyone AT SCALE uses is one of the best ways forward to make an impact|quick prototyping, right? So integrating this tightly into the frameworks that everyone AT SCALE uses is one of the best ways forward to make an impact
235-0030|this is the end of today's class on human centered ay eye and ay eye's impact on the environment|this is the end of today's class on human centered ay eye and ay eye's impact on the environment
235-0031|If you have questions I think these are certainly topics that are very worthwhile discussing please submit them|If you have questions I think these are certainly topics that are very worthwhile discussing please submit them.
MA01_01|The birch canoe slid on the smooth planks.|The birch canoe slid on the smooth planks.
MA01_02|Glue the sheet to the dark blue background.|Glue the sheet to the dark blue background.
MA01_03|It's easy to tell the depth of a well.|It's easy to tell the depth of a well.
MA01_04|These days a chicken leg is a rare dish.|These days a chicken leg is a rare dish.
MA01_05|Rice is often served in round bowls.|Rice is often served in round bowls.
MA01_06|The juice of lemons makes fine punch.|The juice of lemons makes fine punch.
MA01_07|The box was thrown beside the parked truck.|The box was thrown beside the parked truck.
MA01_08|The hogs were fed chopped corn and garbage.|The hogs were fed chopped corn and garbage.
MA01_09|Four hours of steady work faced us.|Four hours of steady work faced us.
MA01_10|A large size in stockings is hard to sell.|A large size in stockings is hard to sell.
MA02_01|The boy was there when the sun rose.|The boy was there when the sun rose.
MA02_02|A rod is used to catch pink salmon. |A rod is used to catch pink salmon. 
MA02_03|The source of the huge river is the clear spring.|The source of the huge river is the clear spring.
MA02_04|Kick the ball straight and follow through.|Kick the ball straight and follow through.
MA02_05|Help the woman get back to her feet.|Help the woman get back to her feet.
MA02_06|A pot of tea helps to pass the evening.|A pot of tea helps to pass the evening.
MA02_07|Smoky fires lack flame and heat.|Smoky fires lack flame and heat.
MA02_08|The soft cushion broke the man's fall.|The soft cushion broke the man's fall.
MA02_09|The salt breeze came across from the sea.|The salt breeze came across from the sea.
MA02_10|The girl at the booth sold fifty bonds.|The girl at the booth sold fifty bonds.
MA03_01|The small pup gnawed a hole in the sock.|The small pup gnawed a hole in the sock.
MA03_02|The fish twisted and turned on the bent hook.|The fish twisted and turned on the bent hook.
MA03_03|Press the pants and sew a button on the vest.|Press the pants and sew a button on the vest.
MA03_04|The swan dive was far short of perfect.|The swan dive was far short of perfect.
MA03_05|The beauty of the view stunned the young boy.|The beauty of the view stunned the young boy.
MA03_06|Two blue fish swam in the tank.|Two blue fish swam in the tank.
MA03_07|Her purse was full of useless trash.|Her purse was full of useless trash.
MA03_08|The colt reared and threw the tall rider.|The colt reared and threw the tall rider.
MA03_09|It snowed, rained, and hailed the same morning.|It snowed, rained, and hailed the same morning.
MA03_10|Read verse out loud for pleasure.|Read verse out loud for pleasure.
MA04_01|Hoist the load to your left shoulder.|Hoist the load to your left shoulder.
MA04_02|Take the winding path to reach the lake.|Take the winding path to reach the lake.
MA04_03|Note closely the size of the gas tank.|Note closely the size of the gas tank.
MA04_04|Wipe the grease off his dirty face.|Wipe the grease off his dirty face.
MA04_05|Mend the coat before you go out.|Mend the coat before you go out.
MA04_06|The wrist was badly strained and hung limp.|The wrist was badly strained and hung limp.
MA04_07|The stray cat gave birth to kittens.|The stray cat gave birth to kittens.
MA04_08|The young girl gave no clear response.|The young girl gave no clear response.
MA04_09|The meal was cooked before the bell rang.|The meal was cooked before the bell rang.
MA04_10|What joy there is in living.|What joy there is in living.
MA05_01|A king ruled the state in the early days.|A king ruled the state in the early days.
MA05_02|The ship was torn apart on the sharp reef.|The ship was torn apart on the sharp reef.
MA05_03|Sickness kept him home the third week.|Sickness kept him home the third week.
MA05_04|The wide road shimmered in the hot sun.|The wide road shimmered in the hot sun.
MA05_05|The lazy cow lay in the cool grass.|The lazy cow lay in the cool grass.
MA05_06|Lift the square stone over the fence.|Lift the square stone over the fence.
MA05_07|The rope will bind the seven books at once.|The rope will bind the seven books at once.
MA05_08|Hop over the fence and plunge in.|Hop over the fence and plunge in.
MA05_09|The friendly gang left the drug store.|The friendly gang left the drug store.
MA05_10|Mesh wire keeps chicks inside.|Mesh wire keeps chicks inside.
MA06_01|The frost air passed through the coat.|The frost air passed through the coat.
MA06_02|The crooked maze failed to fool the mouse.|The crooked maze failed to fool the mouse.
MA06_03|Adding fast leads to wrong sums.|Adding fast leads to wrong sums.
MA06_04|The show was a flop from the very start.|The show was a flop from the very start.
MA06_05|A saw is a tool used for making boards.|A saw is a tool used for making boards.
MA06_06|The wagon moved on well oiled wheels.|The wagon moved on well oiled wheels.
MA06_07|March the soldiers past the next hill.|March the soldiers past the next hill.
MA06_08|A cup of sugar makes sweet fudge.|A cup of sugar makes sweet fudge.
MA06_09|Place a rosebush near the porch steps.|Place a rosebush near the porch steps.
MA06_10|Both lost their lives in the raging storm.|Both lost their lives in the raging storm.
MB07_01|We talked of the side show in the circus.|We talked of the side show in the circus.
MB07_02|Use a pencil to write the first draft.|Use a pencil to write the first draft.
MB07_03|He ran half way to the hardware store.|He ran half way to the hardware store.
MB07_04|The clock struck to mark the third period.|The clock struck to mark the third period.
MB07_05|A small creek cut across the field.|A small creek cut across the field.
MB07_06|Cars and busses stalled in snow drifts.|Cars and busses stalled in snow drifts.
MB07_07|The set of china hit the floor with a crash.|The set of china hit the floor with a crash.
MB07_08|This is a grand season for hikes on the road.|This is a grand season for hikes on the road.
MB07_09|The dune rose from the edge of the water.|The dune rose from the edge of the water.
MB07_10|Those words were the cue for the actor to leave.|Those words were the cue for the actor to leave.
MB08_01|A yacht slid around the point into the bay.|A yacht slid around the point into the bay.
MB08_02|The two met while playing on the sand.|The two met while playing on the sand.
MB08_03|The ink stain dried on the finished page.|The ink stain dried on the finished page.
MB08_04|The walled town was seized without a fight.|The walled town was seized without a fight.
MB08_05|The lease ran out in sixteen weeks.|The lease ran out in sixteen weeks.
MB08_06|A tame squirrel makes a nice pet.|A tame squirrel makes a nice pet.
MB08_07|The horn of the car woke the sleeping cop.|The horn of the car woke the sleeping cop.
MB08_08|The heart beat strongly and with firm strokes.|The heart beat strongly and with firm strokes.
MB08_09|The pearl was worn in a thin silver ring.|The pearl was worn in a thin silver ring.
MB08_10|The fruit peel was cut in thick slices.|The fruit peel was cut in thick slices.
MB09_01|The Navy attacked the big task force.|The Navy attacked the big task force.
MB09_02|See the cat glaring at the scared mouse.|See the cat glaring at the scared mouse.
MB09_03|There are more than two factors here.|There are more than two factors here.
MB09_04|The hat brim was wide and too droopy.|The hat brim was wide and too droopy.
MB09_05|The lawyer tried to lose his case.|The lawyer tried to lose his case.
MB09_06|The grass curled around the fence post.|The grass curled around the fence post.
MB09_07|Cut the pie into large parts.|Cut the pie into large parts.
MB09_08|Men strive but seldom get rich.|Men strive but seldom get rich.
MB09_09|Always close the barn door tight.|Always close the barn door tight.
MB09_10|He lay prone and hardly moved a limb.|He lay prone and hardly moved a limb.
MB10_01|The slush lay deep along the street.|The slush lay deep along the street.
MB10_02|A wisp of cloud hung in the blue air.|A wisp of cloud hung in the blue air.
MB10_03|A pound of sugar costs more than eggs.|A pound of sugar costs more than eggs.
MB10_04|The fin was sharp and cut the clear water.|The fin was sharp and cut the clear water.
MB10_05|The play seems dull and quite stupid.|The play seems dull and quite stupid.
MB10_06|Bail the boat to stop it from sinking.|Bail the boat to stop it from sinking.
MB10_07|The term ended in late June that year.|The term ended in late June that year.
MB10_08|A tusk is used to make costly gifts.|A tusk is used to make costly gifts.
MB10_09|Ten pins were set in order.|Ten pins were set in order.
MB10_10|The bill was paid every third week.|The bill was paid every third week.
MB11_01|Oak is strong and also gives shade.|Oak is strong and also gives shade.
MB11_02|Cats and dogs each hate the other.|Cats and dogs each hate the other.
MB11_03|The pipe began to rust while new.|The pipe began to rust while new.
MB11_04|Open the crate but don't break the glass.|Open the crate but don't break the glass.
MB11_05|Add the sum to the product of these three.|Add the sum to the product of these three.
MB11_06|Thieves who rob friends deserve jail.|Thieves who rob friends deserve jail.
MB11_07|The ripe taste of cheese improves with age.|The ripe taste of cheese improves with age.
MB11_08|Act on these orders with great speed.|Act on these orders with great speed.
MB11_09|The hog crawled under the high fence.|The hog crawled under the high fence.
MB11_10|Move the vat over the hot fire.|Move the vat over the hot fire.
MB12_01|The bark of the pine tree was shiny and dark.|The bark of the pine tree was shiny and dark.
MB12_02|Leaves turn brown and yellow in the fall.|Leaves turn brown and yellow in the fall.
MB12_03|The pennant waved when the wind blew.|The pennant waved when the wind blew.
MB12_04|Split the log with a quick, sharp blow.|Split the log with a quick, sharp blow.
MB12_05|Burn peat after the logs give out.|Burn peat after the logs give out.
MB12_06|He ordered peach pie with ice cream.|He ordered peach pie with ice cream.
MB12_07|Weave the carpet on the right hand side.|Weave the carpet on the right hand side.
MB12_08|Hemp is a weed found in parts of the tropics.|Hemp is a weed found in parts of the tropics.
MB12_09|A lame back kept his score low.|A lame back kept his score low.
MB12_10|We find joy in the simplest things.|We find joy in the simplest things.
MC13_01|Type out three lists of orders.|Type out three lists of orders.
MC13_02|The harder he tried the less he got done.|The harder he tried the less he got done.
MC13_03|The boss ran the show with a watchful eye.|The boss ran the show with a watchful eye.
MC13_04|The cup cracked and spilled its contents.|The cup cracked and spilled its contents.
MC13_05|Paste can cleanse the most dirty brass.|Paste can cleanse the most dirty brass.
MC13_06|The slang word for raw whiskey is booze.|The slang word for raw whiskey is booze.
MC13_07|It caught its hind paw in a rusty trap.|It caught its hind paw in a rusty trap.
MC13_08|The wharf could be seen at the farther shore.|The wharf could be seen at the farther shore.
MC13_09|Feel the heat of the weak dying flame.|Feel the heat of the weak dying flame.
MC13_10|The tiny girl took off her hat.|The tiny girl took off her hat.
MC14_01|A cramp is no small danger on a swim.|A cramp is no small danger on a swim.
MC14_02|He said the same phrase thirty times.|He said the same phrase thirty times.
MC14_03|Pluck the bright rose without leaves.|Pluck the bright rose without leaves.
MC14_04|Two plus seven is less than ten.|Two plus seven is less than ten.
MC14_05|The glow deepened in the eyes of the sweet girl.|The glow deepened in the eyes of the sweet girl.
MC14_06|Bring your problems to the wise chief.|Bring your problems to the wise chief.
MC14_07|Write a fond note to the friend you cherish.|Write a fond note to the friend you cherish.
MC14_08|Clothes and lodging are free to new men.|Clothes and lodging are free to new men.
MC14_09|We frown when events take a bad turn.|We frown when events take a bad turn.
MC14_10|Port is a strong wine with a smoky taste.|Port is a strong wine with a smoky taste.
MC15_01|The young kid jumped the rusty gate.|The young kid jumped the rusty gate.
MC15_02|Guess the results from the first scores.|Guess the results from the first scores.
MC15_03|A salt pickle tastes fine with ham.|A salt pickle tastes fine with ham.
MC15_04|The just claim got the right verdict.|The just claim got the right verdict.
MC15_05|These thistles bend in a high wind.|These thistles bend in a high wind.
MC15_06|Pure bred poodles have curls.|Pure bred poodles have curls.
MC15_07|The tree top waved in a graceful way.|The tree top waved in a graceful way.
MC15_08|The spot on the blotter was made by green ink.|The spot on the blotter was made by green ink.
MC15_09|Mud was spattered on the front of his white shirt.|Mud was spattered on the front of his white shirt.
MC15_10|The cigar burned a hole in the desk top.|The cigar burned a hole in the desk top.
MC16_01|The empty flask stood on the tin tray.|The empty flask stood on the tin tray.
MC16_02|A speedy man can beat this track mark.|A speedy man can beat this track mark.
MC16_03|He broke a new shoelace that day.|He broke a new shoelace that day.
MC16_04|The coffee stand is too high for the couch.|The coffee stand is too high for the couch.
MC16_05|The urge to write short stories is rare.|The urge to write short stories is rare.
MC16_06|The pencils have all been used.|The pencils have all been used.
MC16_07|The pirates seized the crew of the lost ship.|The pirates seized the crew of the lost ship.
MC16_08|We tried to replace the coin but failed.|We tried to replace the coin but failed.
MC16_09|She sewed the torn coat quite neatly.|She sewed the torn coat quite neatly.
MC16_10|The sofa cushion is red and of light weight.|The sofa cushion is red and of light weight.
MC17_01|The jacket hung on the back of the wide chair.|The jacket hung on the back of the wide chair.
MC17_02|At that high level the air is pure.|At that high level the air is pure.
MC17_03|Drop the two when you add the figures.|Drop the two when you add the figures.
MC17_04|A filing case is now hard to buy.|A filing case is now hard to buy.
MC17_05|An abrupt start does not win the prize.|An abrupt start does not win the prize.
MC17_06|Wood is best for making toys and blocks.|Wood is best for making toys and blocks.
MC17_07|The office paint was a dull, sad tan.|The office paint was a dull, sad tan.
MC17_08|He knew the skill of the great young actress.|He knew the skill of the great young actress.
MC17_09|A rag will soak up spilled water.|A rag will soak up spilled water.
MC17_10|A shower of dirt fell from the hot pipes.|A shower of dirt fell from the hot pipes.
MC18_01|Steam hissed from the broken valve.|Steam hissed from the broken valve.
MC18_02|The child almost hurt the small dog.|The child almost hurt the small dog.
MC18_03|There was a sound of dry leaves outside.|There was a sound of dry leaves outside.
MC18_04|The sky that morning was clear and bright blue.|The sky that morning was clear and bright blue.
MC18_05|Torn scraps littered the stone floor.|Torn scraps littered the stone floor.
MC18_06|Sunday is the best part of the week.|Sunday is the best part of the week.
MC18_07|The doctor cured him with these pills.|The doctor cured him with these pills.
MC18_08|The new girl was fired today at noon.|The new girl was fired today at noon.
MC18_09|They felt gay when the ship arrived in port.|They felt gay when the ship arrived in port.
MC18_10|Add the store's account to the last cent.|Add the store's account to the last cent.
MD19_01|Acid burns holes in wool cloth.|Acid burns holes in wool cloth.
MD19_02|Fairy tales should be fun to write.|Fairy tales should be fun to write.
MD19_03|Eight miles of woodland burned to waste.|Eight miles of woodland burned to waste.
MD19_04|The third act was dull and tired the players.|The third act was dull and tired the players.
MD19_05|A young child should not suffer fright.|A young child should not suffer fright.
MD19_06|Add the column and put the sum here.|Add the column and put the sum here.
MD19_07|We admire and love a good cook.|We admire and love a good cook.
MD19_08|There the flood mark is ten inches.|There the flood mark is ten inches.
MD19_09|He carved a head from the round block of marble.|He carved a head from the round block of marble.
MD19_10|She has a smart way of wearing clothes.|She has a smart way of wearing clothes.
MD20_01|The fruit of a fig tree is apple-shaped.|The fruit of a fig tree is apple-shaped.
MD20_02|Corn cobs can be used to kindle a fire.|Corn cobs can be used to kindle a fire.
MD20_03|Where were they when the noise started?|Where were they when the noise started?
MD20_04|The paper box is full of thumb tacks.|The paper box is full of thumb tacks.
MD20_05|Sell your gift to a buyer at a good gain.|Sell your gift to a buyer at a good gain.
MD20_06|The tongs lay beside the ice pail.|The tongs lay beside the ice pail.
MD20_07|The petals fall with the next puff of wind.|The petals fall with the next puff of wind.
MD20_08|Bring your best compass to the third class.|Bring your best compass to the third class.
MD20_09|They could laugh although they were sad.|They could laugh although they were sad.
MD20_10|Farmers came in to thresh the oat crop.|Farmers came in to thresh the oat crop.
MD21_01|The brown house was on fire to the attic.|The brown house was on fire to the attic.
MD21_02|The lure is used to catch trout and flounder.|The lure is used to catch trout and flounder.
MD21_03|Float the soap on top of the bath water.|Float the soap on top of the bath water.
MD21_04|A blue crane is a tall wading bird.|A blue crane is a tall wading bird.
MD21_05|A fresh start will work such wonders.|A fresh start will work such wonders.
MD21_06|The club rented the rink for the fifth night.|The club rented the rink for the fifth night.
MD21_07|After the dance, they went straight home.|After the dance, they went straight home.
MD21_08|The hostess taught the new maid to serve.|The hostess taught the new maid to serve.
MD21_09|He wrote his last novel there at the inn.|He wrote his last novel there at the inn.
MD21_10|Even the worst will beat his low score.|Even the worst will beat his low score.
MD22_01|The cement had dried when he moved it.|The cement had dried when he moved it.
MD22_02|The loss of the second ship was hard to take.|The loss of the second ship was hard to take.
MD22_03|The fly made its way along the wall.|The fly made its way along the wall.
MD22_04|Do that with a wooden stick.|Do that with a wooden stick.
MD22_05|Live wires should be kept covered.|Live wires should be kept covered.
MD22_06|The large house had hot water taps.|The large house had hot water taps.
MD22_07|It is hard to erase blue or red ink.|It is hard to erase blue or red ink.
MD22_08|Write at once or you may forget it.|Write at once or you may forget it.
MD22_09|The doorknob was made of bright clean brass.|The doorknob was made of bright clean brass.
MD22_10|The wreck occurred by the bank on Main Street.|The wreck occurred by the bank on Main Street.